source,target,weight
stupid,dire,1
parents,lucky,1
parents,least,1
one-dimensional,child,1
parents,ok,1
lucky,winners,1
lucky,child,1
lucky,actors,1
lucky,nothing,1
lucky,home,1
winners,one-dimensional,1
winners,least,1
winners,ok,1
present,midget,1
day,ugliest,1
johnny,wrong,1
wood,light,1
lucky,production,1
lucky,designers,1
lucky,publicists,1
superb,tim,1
able,production,1
able,designers,1
able,publicists,1
talented,cinematographers,1
talented,production,1
talented,designers,1
talented,publicists,1
friends,script,1
script,editors,1
brilliant,light,1
brilliant,putrid,1
brilliant,good,1
film,light,1
film,putrid,1
film,good,1
ed,light,1
ed,putrid,1
lucky,cinematographers,1
man,talented,1
man,able,1
tim,able,1
awful,adaptation,1
awful,roald,1
awful,dahl,1
awful,novel,1
adaptation,extraordinary,1
roald,extraordinary,1
dahl,extraordinary,1
extraordinary,novel,1
tim,lucky,1
tim,talented,1
man,lucky,1
burton,lucky,1
burton,able,1
burton,talented,1
storyteller,lucky,1
storyteller,able,1
storyteller,talented,1
fact,lucky,1
fact,able,1
fact,talented,1
ed,good,1
wood,putrid,1
flat,awful,1
wood,good,1
darker,original,1
darker,wheelchair-like,1
darker,close,1
darker,nearest,1
subplot,original,1
subplot,wheelchair-like,1
subplot,close,1
subplot,nearest,1
original,film,1
original,pacing,1
original,screen,1
original,blowtorch,1
wheelchair-like,pacing,1
wheelchair-like,screen,1
wheelchair-like,blowtorch,1
pacing,close,1
pacing,nearest,1
close,screen,1
close,blowtorch,1
screen,nearest,1
nearest,blowtorch,1
film,original,1
puerile,midget,1
puerile,irritating,1
mess,good,1
light,years,1
light,mess,1
light,script,1
light,burton,1
years,putrid,1
years,good,1
putrid,mess,1
putrid,script,1
putrid,burton,1
good,script,1
puerile,oompa-loompahs,1
good,burton,1
thing,incapable,1
thing,narrative,1
burton,incapable,1
burton,narrative,1
incapable,momentum,1
narrative,momentum,1
group,puerile,1
puerile,songs,1
flat,extraordinary,1
bad/golden,gobstoppers,1
ugliest,midget,1
depp,strange,1
sick,twist,1
tim,original,1
burton,original,1
twist,original,1
things,worse,1
things,oompa,1
worse,lumpas,1
worse,person,1
oompa,lumpas,1
oompa,person,1
sadistic,movies,1
sadistic,tim,1
sadistic,burton,1
sadistic,twist,1
entire,movie,1
sure,spoiler,1
sure,opinion,1
johnny,original,1
depp,original,1
disappointed,reasons,1
several,reasons,1
sick,burton,1
sick,tim,1
movie,original,1
whole,career,1
ugliest,times,1
johnny,good,1
johnny,whole,1
depp,good,1
depp,whole,1
good,movies,1
good,career,1
good,film,1
movies,whole,1
whole,film,1
movie,sick,1
avid,reader,1
avid,book,1
avid,movie,1
original,book,1
book,original,1
original,movie,1
original,tim,1
original,burton,1
original,twist,1
something,great,1
freaky,strange,1
bad/golden,example,1
kind,strange,1
guy,exact,1
oompa,loompas,1
oompa,originals,1
oompa,clone,1
loompas,strange,1
loompas,digitized,1
loompas,exact,1
....,strange,1
....,digitized,1
strange,....,1
strange,originals,1
strange,clone,1
digitized,....,1
digitized,originals,1
digitized,clone,1
originals,exact,1
exact,clone,1
idea,bad/golden,1
lot,bad/golden,1
scenes,bad/golden,1
bad/golden,egg,1
guy,digitized,1
guy,strange,1
guy,oompa,1
original,*,1
way,strange,1
michael,strange,1
jackson,strange,1
strange,way,1
great,*,1
great,@,1
great,kind,1
songs,original,1
songs,new,1
original,@,1
kudos,exact,1
original,kind,1
original,songs,1
new,*,1
new,@,1
new,kind,1
new,songs,1
kudos,oompa,1
kudos,strange,1
kudos,digitized,1
superb,desire,1
brats,good,1
superb,burton,1
colors,sweet,1
magical,pain,1
magical,dahl,1
magical,work,1
magical,production,1
magical,editor,1
magical,scenes,1
magical,random,1
film,full,1
film,next,1
film,artificial,1
cereal,full,1
cereal,next,1
cereal,artificial,1
isle,full,1
isle,next,1
isle,artificial,1
grocery,full,1
grocery,next,1
grocery,artificial,1
store,full,1
store,next,1
store,artificial,1
....,full,1
magical,difficulty,1
magical,space,1
warmth,magical,1
fine,space,1
sweet,honest,1
sweet,smile,1
sweet,face,1
dahl,fine,1
dahl,magical,1
fine,story,1
fine,film,1
fine,character,1
fine,depth,1
fine,warmth,1
fine,difficulty,1
depth,magical,1
fine,pain,1
fine,dahl,1
fine,work,1
fine,production,1
fine,editor,1
fine,scenes,1
fine,random,1
story,magical,1
film,magical,1
character,magical,1
colors,full,1
colors,next,1
colors,artificial,1
book,original,1
next,air,1
sugar,artificial,1
artificial,colors,1
artificial,air,1
anyone,fine,1
anyone,original,1
fine,story,1
fine,book,1
fine,film,1
story,original,1
original,film,1
next,sugar,1
movie,long,1
movie,much,1
long,time,1
long,reason,1
long,willy,1
long,wonka,1
long,chocolate,1
long,factory,1
long,place,1
long,heart,1
next,colors,1
sits,artificial,1
sounds,full,1
full,sits,1
sounds,next,1
sounds,artificial,1
box,full,1
box,next,1
box,artificial,1
full,promises,1
full,distraction,1
